,Loss
0,23.19538836479187
1,24.2425879240036
2,6.328019255399704
3,12.753336858749389
4,9.656721538305282
5,3.3791602879762648
6,5.840901327133179
7,2.6746264576911924
8,5.080922454595566
9,3.9838222563266754
10,3.0093837440013886
11,4.383404716849327
12,2.480317258834839
13,1.6371160328388215
14,8.136945915222167
15,3.8018777519464493
16,1.1677570722997188
17,1.8541075751185416
18,3.2965648502111433
19,0.7857590466737747
20,0.8869526758790016
21,0.2842738378793001
22,0.8784381873905659
23,9.376682847738266
24,1.4604912996292114
25,0.2543310966342688
26,0.3039234710857272
27,0.32421378809958695
28,0.49430335126817226
29,2.4455458000302315
